total_orders,returned_orders,return_rate,cancelled_orders,avg_order_value,seller_total_sales,seller_returns,seller_return_rate,avg_rating,negative_review_percent,reviews_same_seller,repeated_review_similarity,fraud_label,fraud_type
86,18,0.209,14,11151,955,83,0.087,4.6,40.42,15,0.75,0,NONE
6,2,0.333,0,37136,124,73,0.589,2.45,59.37,10,0.502,1,SELLER_SUSPICIOUS
55,8,0.145,8,47119,790,83,0.105,3.55,74.1,29,0.066,0,NONE
20,13,0.65,1,79428,1980,267,0.135,2.18,48.6,45,0.399,0,NONE
105,61,0.581,16,75378,242,152,0.628,3.92,65.23,28,0.387,1,SELLER_SUSPICIOUS
111,17,0.153,8,37288,1677,1053,0.628,2.79,79.84,3,0.45,0,NONE
48,14,0.292,8,69170,42,7,0.167,4.56,1.23,36,0.393,0,NONE
28,6,0.214,1,41103,952,6,0.006,1.57,89.01,1,0.947,0,NONE
23,9,0.391,3,17797,1462,426,0.291,2.54,79.17,11,0.311,0,NONE
42,4,0.095,7,1429,1731,832,0.481,1.42,16.74,5,0.228,0,NONE
92,58,0.63,2,70688,1815,1178,0.649,1.84,92.56,27,0.16,1,SELLER_SUSPICIOUS
54,5,0.093,10,53661,504,121,0.24,1.46,95.59,37,0.474,0,NONE
10,3,0.3,1,72175,220,112,0.509,1.35,60.69,17,0.386,0,NONE
116,21,0.181,3,28216,1208,488,0.404,3.21,54.17,22,0.247,0,NONE
91,50,0.549,2,10069,1459,108,0.074,1.78,5.76,46,0.677,0,NONE
25,11,0.44,2,858,855,498,0.582,1.66,58.3,35,0.151,0,NONE
102,10,0.098,3,64422,528,272,0.515,3.94,30.05,22,0.569,0,NONE
23,4,0.174,4,19451,1327,516,0.389,2.9,54.3,19,0.132,0,NONE
95,10,0.105,21,2208,1602,245,0.153,1.52,79.05,28,0.058,0,NONE
60,19,0.317,8,66593,1037,523,0.504,4.88,94.91,26,0.981,1,REPEATED_REVIEW
112,51,0.455,31,78905,1042,694,0.666,2.5,28.58,33,0.563,1,SELLER_SUSPICIOUS
27,14,0.519,2,62654,723,248,0.343,2.45,72.57,14,0.456,1,SELLER_SUSPICIOUS
96,50,0.521,14,6642,1794,771,0.43,4.23,47.65,9,0.059,0,NONE
49,16,0.327,0,62820,756,146,0.193,2.25,25.6,5,0.51,0,NONE
114,60,0.526,30,52419,1157,479,0.414,4.72,3.05,3,0.693,1,SELLER_SUSPICIOUS
46,20,0.435,11,12444,1707,695,0.407,3.11,79.34,35,0.998,1,REPEATED_REVIEW
12,0,0.0,2,11386,598,64,0.107,2.37,63.29,15,0.143,0,NONE
108,7,0.065,4,7795,220,126,0.573,4.54,70.0,40,0.399,0,NONE
38,13,0.342,3,9105,1401,74,0.053,2.4,11.1,13,0.948,0,NONE
38,12,0.316,2,74585,1571,1089,0.693,1.31,50.06,42,0.242,0,NONE
106,59,0.557,1,46592,203,110,0.542,1.84,86.34,3,0.803,1,SELLER_SUSPICIOUS
82,54,0.659,21,24282,1608,320,0.199,3.2,21.93,13,0.603,1,RETURN_ABUSE
57,18,0.316,16,17066,1066,543,0.509,2.8,58.59,8,0.555,1,SELLER_SUSPICIOUS
24,17,0.708,5,32421,431,52,0.121,4.22,55.25,4,0.143,0,NONE
91,7,0.077,17,75263,1674,849,0.507,4.3,72.17,41,0.749,0,NONE
83,56,0.675,16,32397,1829,1119,0.612,3.37,89.57,24,0.839,1,SELLER_SUSPICIOUS
45,5,0.111,4,55603,1200,667,0.556,1.41,36.02,19,0.565,0,NONE
38,11,0.289,3,16709,930,140,0.151,2.69,37.73,12,0.675,0,NONE
21,9,0.429,1,62868,1871,631,0.337,3.7,13.91,21,0.713,0,NONE
17,4,0.235,0,54540,1649,532,0.323,2.9,63.43,37,0.048,0,NONE
105,47,0.448,6,19471,1043,552,0.529,2.9,11.1,14,0.771,1,SELLER_SUSPICIOUS
109,70,0.642,8,79360,229,140,0.611,2.66,71.97,9,0.657,1,SELLER_SUSPICIOUS
79,53,0.671,21,51668,1143,620,0.542,4.02,3.59,9,0.137,0,NONE
11,3,0.273,1,24054,1071,325,0.303,3.58,39.51,40,0.468,0,NONE
69,35,0.507,10,73516,68,9,0.132,3.18,9.99,10,0.015,0,NONE
41,5,0.122,7,37109,1892,867,0.458,4.8,3.14,3,0.404,0,NONE
21,11,0.524,5,54631,1579,540,0.342,2.86,96.35,26,0.678,1,SELLER_SUSPICIOUS
88,27,0.307,15,12450,484,103,0.213,1.53,85.71,42,0.77,1,RETURN_ABUSE
98,33,0.337,4,20947,1779,664,0.373,4.09,51.8,12,0.001,0,NONE
47,35,0.745,12,53370,1271,622,0.489,3.7,54.7,8,0.783,1,SELLER_SUSPICIOUS
93,71,0.763,12,63022,663,103,0.155,1.26,22.82,34,0.603,1,RETURN_ABUSE
81,14,0.173,22,49567,1261,515,0.408,4.83,94.27,5,0.531,0,NONE
88,49,0.557,10,61715,559,277,0.496,2.46,22.54,44,0.62,1,SELLER_SUSPICIOUS
61,25,0.41,9,56251,1403,67,0.048,2.55,67.41,43,0.81,1,RETURN_ABUSE
51,37,0.725,7,24489,1743,558,0.32,1.24,69.0,26,0.147,1,SELLER_SUSPICIOUS
9,3,0.333,1,48062,267,53,0.199,2.66,30.19,34,0.242,0,NONE
65,20,0.308,13,27576,1433,293,0.204,4.71,76.09,14,0.547,0,NONE
17,2,0.118,4,44027,1471,492,0.334,1.2,84.36,48,0.995,1,REPEATED_REVIEW
54,10,0.185,14,14479,1535,271,0.177,3.55,49.82,26,0.523,0,NONE
80,10,0.125,4,63564,293,18,0.061,1.7,21.4,18,0.981,0,NONE
8,3,0.375,0,25872,1614,124,0.077,4.77,96.01,16,0.977,1,REPEATED_REVIEW
12,7,0.583,1,36691,514,93,0.181,3.56,66.66,20,0.565,1,RETURN_ABUSE
90,43,0.478,8,23101,1591,170,0.107,1.18,80.81,40,0.848,1,RETURN_ABUSE
76,47,0.618,21,67232,29,3,0.103,2.16,39.78,27,0.955,1,REPEATED_REVIEW
5,3,0.6,0,54074,1796,979,0.545,1.36,3.26,35,0.951,1,REPEATED_REVIEW
95,16,0.168,17,46240,135,92,0.681,3.26,35.86,4,0.847,1,SELLER_SUSPICIOUS
5,1,0.2,0,25229,1920,1289,0.671,4.36,75.18,5,0.036,0,NONE
21,5,0.238,1,65003,1792,732,0.408,2.73,71.92,21,0.517,0,NONE
30,18,0.6,2,67168,719,198,0.275,4.58,94.65,40,0.401,1,RETURN_ABUSE
82,3,0.037,22,75101,103,14,0.136,3.18,20.45,8,0.186,0,NONE
23,15,0.652,5,60815,1537,474,0.308,1.28,94.08,37,0.46,1,SELLER_SUSPICIOUS
115,23,0.2,26,45595,208,23,0.111,2.41,82.48,34,0.876,0,NONE
91,52,0.571,23,44384,600,350,0.583,1.51,76.55,6,0.055,1,SELLER_SUSPICIOUS
14,7,0.5,2,77616,231,2,0.009,4.53,5.19,4,0.967,0,NONE
42,4,0.095,6,51501,325,29,0.089,2.3,71.26,27,0.271,0,NONE
61,47,0.77,14,27627,1065,212,0.199,3.17,14.96,16,0.078,0,NONE
35,9,0.257,9,47635,462,161,0.348,4.12,58.38,11,0.628,0,NONE
90,16,0.178,3,79458,172,20,0.116,3.24,78.07,25,0.172,0,NONE
85,65,0.765,7,7763,1466,1024,0.698,1.49,12.51,17,0.031,1,SELLER_SUSPICIOUS
45,28,0.622,8,22144,601,261,0.434,3.66,15.73,17,0.701,1,SELLER_SUSPICIOUS
80,47,0.588,14,35498,211,64,0.303,2.25,48.25,36,0.786,1,SELLER_SUSPICIOUS
72,17,0.236,16,70982,62,34,0.548,1.05,70.37,14,0.843,1,SELLER_SUSPICIOUS
8,2,0.25,0,71033,908,167,0.184,1.21,50.48,27,0.482,0,NONE
108,12,0.111,15,67891,1526,658,0.431,2.59,13.17,10,0.809,0,NONE
99,67,0.677,11,28298,1557,1045,0.671,3.69,79.67,7,0.313,1,SELLER_SUSPICIOUS
71,49,0.69,15,11754,614,178,0.29,1.05,67.4,33,0.549,1,RETURN_ABUSE
57,10,0.175,4,17023,1444,901,0.624,2.34,73.27,14,0.606,1,SELLER_SUSPICIOUS
63,32,0.508,17,26549,578,166,0.287,4.78,64.17,7,0.632,1,RETURN_ABUSE
18,6,0.333,2,23431,1072,337,0.314,4.77,91.47,8,0.068,0,NONE
33,9,0.273,0,11061,537,57,0.106,1.45,40.36,5,0.19,0,NONE
88,40,0.455,16,28730,1038,386,0.372,1.82,48.3,16,0.631,1,SELLER_SUSPICIOUS
28,9,0.321,5,4617,173,42,0.243,3.38,17.21,47,0.951,0,NONE
95,40,0.421,21,65119,422,83,0.197,1.37,55.34,34,0.704,1,RETURN_ABUSE
10,6,0.6,2,4349,92,32,0.348,3.69,58.36,36,0.25,0,NONE
6,0,0.0,0,40887,1108,594,0.536,1.42,15.48,15,0.213,0,NONE
55,20,0.364,10,2313,887,609,0.687,2.49,5.05,1,0.015,0,NONE
72,6,0.083,16,66118,1940,1096,0.565,4.36,18.85,32,0.215,0,NONE
42,16,0.381,9,79013,1462,755,0.516,3.99,91.45,28,0.861,1,REPEATED_REVIEW
8,4,0.5,0,68998,1291,859,0.665,3.45,63.77,42,0.701,1,SELLER_SUSPICIOUS
113,39,0.345,22,1634,1523,1023,0.672,1.99,21.44,5,0.077,0,NONE
38,7,0.184,10,74288,965,313,0.324,3.39,59.48,30,0.951,1,REPEATED_REVIEW
14,1,0.071,1,60530,294,163,0.554,4.73,54.43,46,0.397,0,NONE
106,64,0.604,22,10603,622,237,0.381,2.17,77.07,17,0.921,1,REPEATED_REVIEW
10,2,0.2,0,44303,884,548,0.62,3.67,78.74,21,0.411,0,NONE
62,42,0.677,5,50331,439,113,0.257,3.6,93.63,28,0.419,1,RETURN_ABUSE
67,21,0.313,10,7852,1248,771,0.618,3.36,40.76,43,0.491,0,NONE
72,27,0.375,14,7796,842,2,0.002,2.64,65.52,1,0.924,1,REPEATED_REVIEW
89,28,0.315,4,36029,879,20,0.023,3.99,72.06,47,0.685,0,NONE
39,3,0.077,4,2687,1487,282,0.19,3.06,53.56,21,0.743,0,NONE
56,23,0.411,8,3091,586,351,0.599,4.15,63.22,49,0.506,1,SELLER_SUSPICIOUS
43,15,0.349,0,23908,1256,828,0.659,2.57,55.34,35,0.349,1,SELLER_SUSPICIOUS
45,4,0.089,9,33354,484,75,0.155,4.44,74.84,22,0.296,0,NONE
115,36,0.313,22,23699,1601,494,0.309,2.96,42.96,40,0.863,1,REPEATED_REVIEW
105,5,0.048,11,44549,1649,661,0.401,3.17,34.52,43,0.732,0,NONE
119,77,0.647,9,44439,693,200,0.289,1.85,31.1,39,0.058,0,NONE
23,14,0.609,5,55435,1627,362,0.222,3.23,41.58,33,0.541,1,RETURN_ABUSE
78,39,0.5,14,9140,1968,945,0.48,2.31,54.67,1,0.631,1,SELLER_SUSPICIOUS
52,12,0.231,0,29416,851,316,0.371,2.35,14.28,26,0.512,0,NONE
17,4,0.235,1,62244,1494,1030,0.689,4.09,95.14,1,0.018,0,NONE
21,10,0.476,0,51440,1430,206,0.144,4.54,22.19,26,0.253,0,NONE
29,21,0.724,3,42556,651,311,0.478,4.34,82.14,16,0.203,1,SELLER_SUSPICIOUS
112,50,0.446,6,1217,1456,338,0.232,4.28,40.46,15,0.466,0,NONE
57,29,0.509,7,23685,454,47,0.104,1.83,4.2,6,0.389,0,NONE
61,39,0.639,3,25807,135,56,0.415,4.93,45.05,13,0.804,1,SELLER_SUSPICIOUS
83,19,0.229,9,27446,1894,2,0.001,2.4,37.25,4,0.464,0,NONE
79,57,0.722,10,8526,1457,234,0.161,4.33,84.23,9,0.005,0,NONE
102,60,0.588,23,79042,1091,408,0.374,3.32,42.61,37,0.521,1,SELLER_SUSPICIOUS
66,38,0.576,16,44886,504,210,0.417,3.48,74.23,7,0.662,1,SELLER_SUSPICIOUS
96,5,0.052,25,77002,1010,575,0.569,4.1,85.26,22,0.758,1,SELLER_SUSPICIOUS
80,41,0.512,12,39678,73,15,0.205,1.81,31.38,40,0.6,0,NONE
6,1,0.167,0,77009,735,299,0.407,3.98,55.79,26,0.696,0,NONE
16,2,0.125,1,5386,677,317,0.468,4.18,27.19,38,0.533,0,NONE
71,37,0.521,2,23088,1172,684,0.584,4.3,46.31,46,0.219,1,SELLER_SUSPICIOUS
104,6,0.058,21,52698,1480,974,0.658,4.29,46.15,6,0.787,1,SELLER_SUSPICIOUS
105,83,0.79,11,17044,1583,391,0.247,1.12,25.96,6,0.415,1,RETURN_ABUSE
100,34,0.34,14,19759,1163,813,0.699,3.67,32.3,46,0.888,1,REPEATED_REVIEW
108,28,0.259,6,12891,96,17,0.177,4.38,24.9,38,0.095,0,NONE
24,11,0.458,2,34224,818,90,0.11,4.23,85.8,45,0.466,0,NONE
99,14,0.141,15,63844,822,458,0.557,2.44,78.37,11,0.014,0,NONE
52,34,0.654,5,33433,1458,461,0.316,4.67,70.62,36,0.039,0,NONE
83,57,0.687,2,46787,728,340,0.467,2.61,39.06,4,0.991,1,REPEATED_REVIEW
23,10,0.435,1,33840,958,664,0.693,1.92,59.69,24,0.379,1,SELLER_SUSPICIOUS
102,54,0.529,27,69298,1358,900,0.663,4.98,98.11,4,0.861,1,REPEATED_REVIEW
46,19,0.413,5,26113,1758,287,0.163,2.82,67.48,18,0.11,0,NONE
79,20,0.253,11,36682,1468,570,0.388,3.79,64.86,10,0.555,0,NONE
69,6,0.087,3,39604,1698,615,0.362,3.82,45.52,47,0.453,0,NONE
50,13,0.26,1,44935,453,111,0.245,1.1,17.14,15,0.838,0,NONE
24,5,0.208,2,3755,109,12,0.11,1.61,57.26,38,0.643,0,NONE
58,25,0.431,10,25019,895,149,0.166,3.81,6.65,26,0.085,0,NONE
88,54,0.614,15,26017,849,518,0.61,3.01,97.62,48,0.375,1,SELLER_SUSPICIOUS
91,34,0.374,18,43288,1277,464,0.363,3.49,97.34,8,0.941,1,REPEATED_REVIEW
98,19,0.194,27,6250,1311,784,0.598,4.41,93.8,19,0.552,1,SELLER_SUSPICIOUS
102,49,0.48,6,35679,589,289,0.491,2.9,5.52,24,0.101,0,NONE
56,14,0.25,4,20039,1942,583,0.3,2.76,27.84,40,0.207,0,NONE
68,7,0.103,9,15908,1463,636,0.435,2.21,97.54,26,0.809,1,SELLER_SUSPICIOUS
99,63,0.636,5,19314,1899,789,0.415,2.94,30.24,28,0.617,1,SELLER_SUSPICIOUS
66,4,0.061,5,34557,1467,237,0.162,2.25,0.31,23,0.082,0,NONE
99,56,0.566,22,10845,200,8,0.04,1.76,34.71,18,0.667,0,NONE
44,16,0.364,9,9986,850,502,0.591,4.36,98.95,9,0.94,1,REPEATED_REVIEW
94,72,0.766,11,18118,463,248,0.536,4.44,40.68,39,0.454,1,SELLER_SUSPICIOUS
93,61,0.656,7,35200,896,228,0.254,3.04,73.62,26,0.87,1,REPEATED_REVIEW
58,3,0.052,6,46651,1836,844,0.46,3.65,14.12,38,0.855,0,NONE
57,29,0.509,2,51318,1280,757,0.591,4.3,28.57,38,0.97,1,REPEATED_REVIEW
76,56,0.737,5,26305,1587,905,0.57,2.47,8.7,49,0.729,1,SELLER_SUSPICIOUS
97,68,0.701,19,20300,1170,286,0.244,1.87,87.41,39,0.589,1,RETURN_ABUSE
8,4,0.5,0,11378,957,625,0.653,1.21,37.65,17,0.152,0,NONE
101,0,0.0,14,51648,1316,919,0.698,2.94,92.07,45,0.945,1,REPEATED_REVIEW
76,7,0.092,14,76974,800,228,0.285,2.87,76.06,16,0.615,0,NONE
86,16,0.186,6,40019,517,220,0.426,3.83,47.57,43,0.03,0,NONE
25,15,0.6,6,72807,162,72,0.444,2.87,77.36,23,0.626,1,SELLER_SUSPICIOUS
34,0,0.0,8,31527,668,181,0.271,4.99,79.6,11,0.449,0,NONE
13,0,0.0,0,79340,972,71,0.073,4.69,69.56,43,0.801,0,NONE
66,50,0.758,10,60506,1726,862,0.499,4.09,23.69,29,0.856,1,REPEATED_REVIEW
44,22,0.5,7,45897,965,613,0.635,1.08,82.69,8,0.775,1,SELLER_SUSPICIOUS
103,10,0.097,23,58660,1192,114,0.096,2.18,4.15,39,0.265,0,NONE
21,5,0.238,2,61913,1071,549,0.513,4.79,88.49,4,0.35,0,NONE
53,35,0.66,9,807,1613,976,0.605,3.82,62.27,46,0.794,1,SELLER_SUSPICIOUS
103,55,0.534,26,70927,916,209,0.228,4.97,54.1,12,0.186,0,NONE
84,3,0.036,5,45023,942,136,0.144,1.96,71.01,31,0.15,0,NONE
18,12,0.667,0,6198,1293,509,0.394,1.24,90.48,20,0.754,1,SELLER_SUSPICIOUS
14,2,0.143,2,70283,1048,194,0.185,4.03,5.56,15,0.462,0,NONE
109,52,0.477,11,16141,1730,161,0.093,4.42,35.68,12,0.909,1,REPEATED_REVIEW
91,47,0.516,22,7011,148,88,0.595,3.92,94.02,21,0.43,1,SELLER_SUSPICIOUS
53,21,0.396,4,7089,1524,883,0.579,2.15,49.28,46,0.596,1,SELLER_SUSPICIOUS
50,24,0.48,4,75211,908,69,0.076,4.61,34.4,47,0.015,0,NONE
95,17,0.179,20,13526,745,191,0.256,4.59,39.95,25,0.943,0,NONE
76,54,0.711,10,70704,211,4,0.019,1.39,7.57,37,0.119,0,NONE
113,68,0.602,8,30766,771,513,0.665,3.96,3.24,30,0.863,1,REPEATED_REVIEW
112,75,0.67,25,11456,910,444,0.488,1.98,42.35,30,0.26,1,SELLER_SUSPICIOUS
99,57,0.576,20,65506,693,246,0.355,1.46,2.73,1,0.458,0,NONE
44,0,0.0,0,29932,1234,489,0.396,2.44,82.36,17,0.076,0,NONE
103,79,0.767,7,40113,1730,528,0.305,3.23,15.6,38,0.467,1,SELLER_SUSPICIOUS
82,44,0.537,5,62102,385,13,0.034,2.52,80.84,27,0.782,1,RETURN_ABUSE
35,20,0.571,7,9775,25,4,0.16,4.73,68.39,25,0.602,1,RETURN_ABUSE
51,4,0.078,9,12295,409,197,0.482,3.62,61.92,4,0.562,0,NONE
18,13,0.722,4,60794,403,43,0.107,1.47,61.28,43,0.044,0,NONE
39,16,0.41,2,18823,1655,121,0.073,4.33,81.47,17,0.899,1,REPEATED_REVIEW
54,0,0.0,2,38163,1207,140,0.116,3.13,53.78,37,0.07,0,NONE
115,67,0.583,15,5327,1955,1213,0.62,1.63,22.01,32,0.879,1,REPEATED_REVIEW
35,2,0.057,5,29307,811,170,0.21,2.05,31.31,2,0.886,0,NONE
112,56,0.5,15,53718,817,457,0.559,2.26,4.31,29,0.398,0,NONE
102,42,0.412,29,55968,682,452,0.663,1.03,94.32,46,0.108,1,SELLER_SUSPICIOUS
97,22,0.227,5,41747,1661,607,0.365,2.1,90.16,6,0.325,0,NONE
67,2,0.03,9,4222,830,400,0.482,3.79,32.43,17,0.728,0,NONE
9,5,0.556,1,43961,1334,533,0.4,1.53,38.23,11,0.454,1,SELLER_SUSPICIOUS
110,2,0.018,8,57135,95,13,0.137,3.75,12.04,41,0.198,0,NONE
78,18,0.231,14,79416,1090,255,0.234,4.67,77.63,34,0.171,0,NONE
116,24,0.207,9,66753,1533,1016,0.663,3.76,34.05,41,0.052,0,NONE
103,47,0.456,1,76374,1502,404,0.269,4.79,30.46,17,0.231,0,NONE
68,1,0.015,11,47724,829,53,0.064,1.85,42.0,18,0.858,0,NONE
63,25,0.397,15,47865,972,363,0.373,2.25,24.79,42,0.588,0,NONE
81,3,0.037,6,6377,661,314,0.475,3.14,56.61,8,0.904,0,NONE
115,45,0.391,11,17024,1809,16,0.009,1.89,31.76,36,0.817,0,NONE
73,25,0.342,15,52503,815,174,0.213,4.48,8.35,16,0.332,0,NONE
75,44,0.587,19,52847,1424,292,0.205,3.91,48.44,47,0.53,1,RETURN_ABUSE
23,12,0.522,1,3592,83,36,0.434,4.04,15.39,20,0.734,1,SELLER_SUSPICIOUS
67,35,0.522,1,36233,243,15,0.062,1.69,82.74,30,0.392,0,NONE
91,33,0.363,12,6864,1911,533,0.279,2.35,31.19,9,0.23,0,NONE
23,5,0.217,5,64428,167,8,0.048,3.18,10.56,5,0.156,0,NONE
79,36,0.456,21,27053,1879,988,0.526,4.96,3.0,9,0.156,0,NONE
11,3,0.273,2,78486,460,188,0.409,3.55,98.52,32,0.619,1,SELLER_SUSPICIOUS
14,1,0.071,1,39251,163,15,0.092,1.81,93.44,43,0.279,0,NONE
15,6,0.4,0,27127,1370,409,0.299,3.09,25.36,17,0.89,1,REPEATED_REVIEW
96,64,0.667,14,22184,637,198,0.311,2.01,86.56,44,0.061,1,SELLER_SUSPICIOUS
79,39,0.494,17,46750,1374,492,0.358,1.54,15.18,27,0.594,0,NONE
70,48,0.686,15,14709,1359,693,0.51,2.72,27.59,25,0.018,0,NONE
14,9,0.643,3,34283,1404,373,0.266,1.87,5.99,16,0.212,0,NONE
61,19,0.311,17,60254,1326,552,0.416,4.99,18.35,25,0.929,1,REPEATED_REVIEW
44,8,0.182,11,51533,220,9,0.041,1.33,25.86,20,0.483,0,NONE
70,0,0.0,18,49303,1451,1013,0.698,2.18,66.38,14,0.398,0,NONE
19,11,0.579,4,32399,1383,124,0.09,1.1,36.28,46,0.09,0,NONE
22,13,0.591,1,5747,333,75,0.225,1.6,85.16,45,0.293,1,RETURN_ABUSE
82,60,0.732,3,54187,748,95,0.127,3.71,67.96,18,0.581,1,RETURN_ABUSE
27,12,0.444,2,10115,718,452,0.63,3.65,63.37,14,0.442,1,SELLER_SUSPICIOUS
82,11,0.134,15,73184,1642,316,0.192,2.37,13.46,44,0.924,0,NONE
58,43,0.741,1,43616,1838,371,0.202,3.58,28.83,14,0.118,0,NONE
101,30,0.297,2,21455,102,53,0.52,1.37,81.53,13,0.958,1,REPEATED_REVIEW
39,4,0.103,8,49424,345,152,0.441,2.54,66.63,5,0.389,0,NONE
93,71,0.763,22,25716,1767,939,0.531,1.39,17.69,47,0.977,1,REPEATED_REVIEW
79,28,0.354,21,68611,630,19,0.03,3.33,81.25,47,0.318,0,NONE
70,28,0.4,19,7993,27,15,0.556,1.53,63.24,35,0.667,1,SELLER_SUSPICIOUS
112,75,0.67,19,17126,1830,1125,0.615,1.37,78.03,13,0.026,1,SELLER_SUSPICIOUS
90,51,0.567,14,43432,896,42,0.047,1.78,12.55,42,0.524,0,NONE
119,25,0.21,22,56896,943,136,0.144,1.34,5.7,39,0.975,0,NONE
83,54,0.651,13,76941,1085,410,0.378,4.73,52.32,19,0.689,1,SELLER_SUSPICIOUS
50,37,0.74,0,71732,1910,1255,0.657,3.18,13.57,47,0.365,1,SELLER_SUSPICIOUS
15,6,0.4,0,61239,1964,651,0.331,2.43,91.13,46,0.732,1,SELLER_SUSPICIOUS
84,12,0.143,24,58224,137,53,0.387,2.33,67.57,11,0.931,1,REPEATED_REVIEW
11,5,0.455,1,76798,1391,437,0.314,3.2,79.0,28,0.58,1,SELLER_SUSPICIOUS
61,25,0.41,0,48791,801,333,0.416,1.24,49.93,3,0.452,0,NONE
34,19,0.559,7,1446,377,105,0.279,3.46,61.64,38,0.455,1,RETURN_ABUSE
93,6,0.065,21,43332,1765,1008,0.571,1.61,47.74,7,0.525,0,NONE
54,37,0.685,10,46375,692,0,0.0,1.65,67.56,4,0.734,1,RETURN_ABUSE
47,25,0.532,3,10810,497,177,0.356,4.49,57.7,24,0.803,1,SELLER_SUSPICIOUS
54,42,0.778,10,62316,1701,1179,0.693,2.19,14.35,47,0.87,1,REPEATED_REVIEW
35,3,0.086,4,79876,1594,303,0.19,2.28,46.99,41,0.828,0,NONE
34,21,0.618,1,72447,241,35,0.145,4.13,27.71,7,0.678,1,RETURN_ABUSE
62,25,0.403,12,7033,601,43,0.072,1.16,40.54,37,0.423,0,NONE
105,29,0.276,24,65949,52,9,0.173,4.24,95.05,27,0.342,0,NONE
25,11,0.44,6,26640,1204,746,0.62,1.53,43.99,39,0.381,1,SELLER_SUSPICIOUS
58,17,0.293,2,59002,1726,421,0.244,1.87,44.26,31,0.82,0,NONE
72,17,0.236,3,62820,1141,604,0.529,1.27,21.82,6,0.466,0,NONE
61,20,0.328,15,29057,1722,223,0.13,1.88,62.57,9,0.021,0,NONE
26,4,0.154,6,36392,499,329,0.659,3.17,37.38,7,0.442,0,NONE
115,2,0.017,18,62717,367,28,0.076,2.55,5.12,47,0.855,0,NONE
97,18,0.186,2,9595,539,121,0.224,1.58,50.57,21,0.026,0,NONE
12,6,0.5,0,61110,1539,8,0.005,3.23,95.98,7,0.098,0,NONE
106,40,0.377,21,44939,132,43,0.326,1.18,94.6,46,0.454,1,SELLER_SUSPICIOUS
117,88,0.752,11,26799,1709,936,0.548,1.66,5.91,6,0.684,1,SELLER_SUSPICIOUS
47,24,0.511,1,52913,1184,554,0.468,3.22,7.68,28,0.642,1,SELLER_SUSPICIOUS
31,14,0.452,8,31451,1011,467,0.462,3.32,2.22,34,0.041,0,NONE
30,7,0.233,5,32730,625,428,0.685,1.95,9.7,18,0.798,1,SELLER_SUSPICIOUS
70,9,0.129,12,70306,1874,587,0.313,1.29,28.06,11,0.844,0,NONE
107,52,0.486,25,40161,1057,373,0.353,3.92,48.99,1,0.41,0,NONE
90,22,0.244,23,44806,1893,75,0.04,3.92,42.0,33,0.833,0,NONE
56,36,0.643,9,6230,1653,126,0.076,2.66,54.86,13,0.619,1,RETURN_ABUSE
58,21,0.362,15,45539,438,172,0.393,1.53,15.87,22,0.88,1,REPEATED_REVIEW
108,84,0.778,24,10804,1689,662,0.392,2.21,73.09,43,0.418,1,SELLER_SUSPICIOUS
34,12,0.353,1,6474,1506,312,0.207,1.8,31.5,44,0.21,0,NONE
119,46,0.387,6,1573,1475,339,0.23,3.8,33.06,45,0.412,0,NONE
25,7,0.28,4,79936,1220,342,0.28,2.27,91.2,28,0.599,1,RETURN_ABUSE
45,1,0.022,8,61997,1541,296,0.192,2.98,28.56,38,0.091,0,NONE
79,13,0.165,1,30363,790,502,0.635,3.3,6.09,19,0.626,0,NONE
117,87,0.744,34,22999,172,44,0.256,2.98,12.17,34,0.891,1,REPEATED_REVIEW
102,18,0.176,22,70854,1068,527,0.493,2.18,25.57,42,0.181,0,NONE
38,15,0.395,7,1962,1445,545,0.377,2.74,59.4,21,0.426,0,NONE
100,47,0.47,10,67037,1053,541,0.514,3.86,57.9,24,0.4,1,SELLER_SUSPICIOUS
77,30,0.39,14,1015,210,8,0.038,2.24,29.35,17,0.02,0,NONE
103,51,0.495,4,3832,807,78,0.097,3.65,67.91,13,0.019,0,NONE
113,73,0.646,30,566,1539,190,0.123,1.92,89.74,11,0.221,0,NONE
46,12,0.261,3,13440,1311,548,0.418,1.96,75.8,7,0.313,0,NONE
60,22,0.367,6,59699,1530,178,0.116,4.55,15.14,31,0.966,0,NONE
112,54,0.482,16,73333,684,12,0.018,2.71,63.2,6,0.367,0,NONE
103,81,0.786,10,68969,871,191,0.219,3.54,39.83,19,0.523,1,RETURN_ABUSE
66,15,0.227,8,60930,236,34,0.144,4.38,18.28,38,0.642,0,NONE
34,18,0.529,0,21211,1734,594,0.343,4.5,30.25,13,0.871,1,REPEATED_REVIEW
14,1,0.071,3,62457,1963,913,0.465,4.78,68.25,25,0.054,0,NONE
50,23,0.46,10,49165,1426,114,0.08,2.22,6.37,11,0.861,0,NONE
82,50,0.61,15,21545,1227,221,0.18,4.77,87.13,48,0.313,1,RETURN_ABUSE
63,6,0.095,8,3216,210,55,0.262,3.59,62.5,3,0.169,0,NONE
108,6,0.056,26,51406,483,229,0.474,1.35,19.45,11,0.677,0,NONE
37,17,0.459,3,35480,1742,382,0.219,2.91,79.31,48,0.83,1,RETURN_ABUSE
51,34,0.667,3,40705,466,252,0.541,4.69,14.2,24,0.139,0,NONE
86,49,0.57,21,71490,1122,581,0.518,2.4,86.25,8,0.695,1,SELLER_SUSPICIOUS
